Massif,sous-massif,Region,Département,Station,Indice climatique,Indice socio-économique,Indice Finances publiques,Socre de vulnérabilité,geoloc_auto,fiabilite_geoloc,ville_geoloc,latLong_auto,latLong,vulnérable
Alpes,"Alpes du
Nord",ARA,38,Col d'ornon,"6,67","2,33",1,"15,56","[5.972249, 45.017072]",0.34858272727272727,Au Plan du Col,"45.017072,5.972249",,
Pyrénées,"Est
Pyrénéen",Occitanie,66,"Font-romeu - bolquère
- pyrénées 2000","6,67","7,33",3,"16,3","[2.071189, 42.504357]",0.34730636363636364,Chemin de Font-romeu,"42.504357,2.071189",,
Alpes,"Alpes du
Sud",PACA,5,Laye,"5,67",3,1,17,"[4.223194, 45.954059]",0.3261923376623377,l'Allée,"45.954059,4.223194",,
Alpes,"Alpes du
Sud",PACA,5,"Molines saint-véran
(beauregard)","3,67",5,1,"18,33","[6.865843, 44.699584]",0.46746802660753883,Rue de Beauregard,"44.699584,6.865843","44.69883731059124, 6.869973109817884",oui
Alpes,"Alpes du
Nord",ARA,73,"Toussuire (la) - saint-
pancrace (les bottieres)","3,67","5,67",1,"20,78","[6.300383, 45.267172]",0.4887251336898396,Route des Bottières,"45.267172,6.300383","44.7208851,6.8476923",oui
Alpes,"Alpes du
Sud",PACA,5,Abriès-ristolas,5,"4,33",1,"21,67","[6.953637, 44.7747]",0.5948054545454545,Abriès-Ristolas,"44.7747,6.953637","45.2498205,6.2403708",oui
Alpes,"Alpes du
Sud",PACA,5,Arvieux,5,"4,33",1,"21,67","[6.738585, 44.768483]",0.4308145454545454,Arvieux,"44.768483,6.738585","44.7923822,6.9266796",oui
Alpes,"Alpes du
Sud",PACA,5,Ceillac,5,"4,33",1,"21,67","[6.788561, 44.655142]",0.42978999999999995,Ceillac,"44.655142,6.788561","44.7639898,6.7223914",oui
Alpes,"Alpes du
Sud",PACA,5,Chaillol (pinateau),5,"4,33",1,"21,67","[6.166001, 44.68807]",0.32136081632653063,Corniche du Pinateau,"44.68807,6.166001","44.6894,6.1648",oui
Alpes,"Alpes du
Sud",PACA,5,St léger les mélèzes,5,"4,33",1,"21,67","[6.201986, 44.6479]",0.5297106269592476,Saint-Léger-les-Mélèzes,"44.6479,6.201986","44.6425,6.2001",oui
Alpes,"Alpes du
Sud",PACA,5,Aiguilles,6,"3,67",1,22,"[5.863628, 43.480749]",0.6425581818181817,Les Aiguilles,"43.480749,5.863628","44.7824,6.8697",oui
Pyrénées,"Pyrénées
centrales",OCCITANIE,65,Peyragudes,"5,67","4,33",1,"24,56","[2.400091, 48.861472]",0.4866536363636363,Rue des Pyrénées,"48.861472,2.400091","42.7879,0.4775",oui
Alpes,"Alpes du
Sud",PACA,6,Roubion les buisses,"8,33","3,67",1,"30,56","[4.89349, 44.581382]",0.27853636363636364,Impasse des Buis,"44.581382,4.89349","44.0833,7.0423",oui
