dta,date_actualisation_dta,tous_locaux_visites,presence_amiante,obligation_surveillance,date_derniere_visite,obligation_mesure_taux_empoussierement,obligation_travaux,dta_consultable,lieu_dta_consultable,precision,uairne,type,secteur,code,Nom,Latitude,Longitude
OUI,2/20/2004,OUI,OUI,NON,,NON,NON,OUI,,,0692249V,1ORD,PU,0692249V,ECOLE MATERNELLE PIERRE ET MARIE CURIE <br> 69300 CALUIRE-ET-CUIRE,45.79073260861089,4.824905749131566
OUI,10/20/2010,OUI,OUI,NON,,NON,NON,OUI,,L'investigation menée n'a pas permis de repérer de matériaux et produits contenant de l'amiante selon la liste de l'annexe 13-9 du code de la Santé Publique. D'autres matériaux réputés contenir de l'amiante on été repérés (cf conditions particulières d'ex,0693247E,1ORD,PU,0693247E,ECOLE ELEMENTAIRE  <br> 69700 BEAUVALLON,45.585824157853786,4.694608588616915
,,,,,,,,,,"En tant que Directrice de l'école, je n'ai aucune information sur le respect des obligations relatives à l'amiante que ce soit sa présence, les contrôles obligatoires ou les mesures de sécurité y afférentes. Je transfers donc votre demande au propriétaire",0693615E,1ORD,PU,0693615E,ECOLE MATERNELLE JEAN VILAR <br> 69120 VAULX-EN-VELIN,45.78095714139877,4.914425360008698
OUI,10/23/2007,OUI,NON,NON,,NON,NON,OUI,,,0692144F,1ORD,PR,0692144F,ECOLE ELEMENTAIRE NA'HALAT MOSHEY <br> 69100 VILLEURBANNE,45.76828071533,4.8687189874552175
OUI,9/24/2014,OUI,OUI,NON,,NON,NON,OUI,,,0420012K,CLG,PU,0420012K,COLLEGE LE PALAIS <br> 42110 FEURS,45.751243986445715,4.2232658696222245
OUI,7/19/2013,OUI,NON,NON,,NON,NON,OUI,,,0420978K,CLG,PR,0420978K,COLLEGE FRANCOIS D'ASSISE <br> 42300 ROANNE,46.03633727579045,4.0626146863351
OUI,6/28/2011,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",Ces éléments de réponse émanent directement de la mairie de Servas.,0010743C,1ORD,PU,0010743C,ECOLE ELEMENTAIRE  <br> 01960 SERVAS,46.13270375360324,5.165458212678381
NON,,,,,,,,,,,0011205E,1ORD,PU,0011205E,ECOLE MATERNELLE LES LILAS <br> 01360 BALAN,45.83502664021507,5.094895393262754
NON,7/19/2013,OUI,NON,NON,,NON,NON,NON,Autres,,0421979Y,LP,PR,0421979Y,LYCEE PROFESSIONNEL SAINTE ANNE <br> 42300 ROANNE,46.03633727579045,4.0626146863351
NON,7/19/2013,OUI,NON,NON,,NON,NON,NON,Autres,,0420974F,LYC,PR,0420974F,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE SAINTE ANNE <br> 42300 ROANNE,46.03633727579045,4.0626146863351
NON,,,,,,,,,,,0420987V,LP,PR,0420987V,LYCEE PROFESSIONNEL ARAGO <br> 42300 ROANNE,46.03633727579045,4.0626146863351
OUI,9/29/2010,OUI,OUI,OUI,,NON,NON,OUI,,,0011300H,CLG,PU,0011300H,COLLEGE DE LA PLAINE DE L'AIN <br> 01150 LEYMENT,45.926835248150645,5.291534787990083
NON,,,,,,,,,,,0422135T,1ORD,PR,0422135T,ECOLE ELEMENTAIRE SAINT BENOIT <br> 42140 CHEVRIERES,45.58836561201419,4.400240036410807
OUI,10/13/2014,OUI,OUI,NON,,,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","Présence d'amiante dans les murs et les colles de l'école.
Diagnostic effectué lors de la réfection des peintures de l'école",0690171L,1ORD,PU,0690171L,ECOLE ELEMENTAIRE CHAMPVERT OUEST <br> 69005 LYON 5E  ARRONDISSEMENT,45.764051085620615,4.788300735200246
OUI,12/20/2016,OUI,OUI,NON,,NON,NON,OUI,,,0692009J,1ORD,PR,0692009J,ECOLE ELEMENTAIRE SAINT NOM DE JESUS <br> 69006 LYON 6E  ARRONDISSEMENT,45.76620229686717,4.853073438925146
OUI,7/11/2016,OUI,NON,NON,,NON,NON,OUI,,RAS et DTA disponible dans le bureau de l'adjoint gestionnaire,0691481K,CLG,PU,0691481K,COLLEGE LAURENT MOURGUET <br> 69130 ECULLY,45.7808023664425,4.785248859013032
OUI,2/16/2006,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",Questionnaire rempli avec la secrétaire de mairie,0010591M,1ORD,PU,0010591M,ECOLE ELEMENTAIRE  <br> 01410 CHAMPFROMIER,46.19392648818017,5.8172897622700726
OUI,1/1/1995,OUI,OUI,NON,,NON,NON,OUI,,Seul la toiture du préau des maternelles comportait de l'amiante. Il a été brossé et repeint en 1995.,0692110U,1ORD,PR,0692110U,ECOLE ELEMENTAIRE SAINT VINCENT <br> 69390 MILLERY,45.63573383708865,4.778375967026452
OUI,3/4/2006,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0690312P,1ORD,PU,0690312P,ECOLE ELEMENTAIRE HILAIRE DUNAND <br> 69540 IRIGNY,45.68847634285345,4.822750278276644
OUI,4/20/2004,OUI,OUI,NON,,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",le composant repéré et contenant de l'amiante est un conduit de ventilation.,0010712U,1ORD,PU,0010712U,ECOLE ELEMENTAIRE  <br> 01340 BRESSE VALLONS,46.30802356771762,5.166433949707102
OUI,10/8/2003,OUI,OUI,NON,,NON,NON,OUI,,,0693384D,1ORD,PU,0693384D,ECOLE ELEMENTAIRE JEAN MOULIN <br> 69530 BRIGNAIS,45.66774024283399,4.757630318066596
OUI,4/25/2006,OUI,OUI,NON,,NON,NON,OUI,,Un nouveau diagnostic a été établi en 2015 par le Département en vue de la restructuration du collège qui doit débuter en 2017. Le désamiantage total des locaux est prévu en préliminaire des travaux.,0692346A,CLG,PU,0692346A,COLLEGE PIERRE DE RONSARD <br> 69440 MORNANT,45.61901143694935,4.669079341236409
OUI,10/21/2003,OUI,NON,NON,,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",Ecole et Mairie(services Techniques),0693153C,1ORD,PU,0693153C,ECOLE ELEMENTAIRE DOMINIQUE VINCENT <br> 69410 CHAMPAGNE-AU-MONT-D'OR,45.795716455999205,4.7869014649515655
NON,,,,,,,,,,,0691913E,1ORD,PR,0691913E,ECOLE ELEMENTAIRE L'ARC-EN-CIEL <br> 69440 CHABANIERE,45.59682063983923,4.607614235236588
OUI,6/24/2011,OUI,NON,NON,,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0011287U,1ORD,PU,0011287U,ECOLE ELEMENTAIRE  <br> 01150 SAINT-VULBAS,45.82884909076597,5.286120685582704
NON,,,,,,,,,,,0420825U,1ORD,PU,0420825U,ECOLE ELEMENTAIRE LE BOURG PRIMAIRE <br> 42990 SAUVAIN,45.674447276284226,3.9049315449087967
OUI,2/25/2006,NON,OUI,NON,,NON,NON,OUI,,Tous les bâtiments ont été inspectés sauf l'annexe de l'école (périscolaire et salle de motricité) construite en 1970 et pour laquelle aucun dossier n'a été retrouvé (ni à l'école ni en mairie).,0693710H,1ORD,PU,0693710H,ECOLE MATERNELLE CENTRE <br> 69450 SAINT-CYR-AU-MONT-D'OR,45.8150188636533,4.818607158084179
NON,,,,,,,,,,,0693986H,1ORD,PU,0693986H,ECOLE ELEMENTAIRE  <br> 69430 QUINCIE-EN-BEAUJOLAIS,46.11872114514967,4.6154485575964905
OUI,12/16/1998,OUI,NON,NON,,NON,NON,OUI,,,0691998X,1ORD,PR,0691998X,ECOLE ELEMENTAIRE PROVIDENCE DES TRINITAIRES <br> 69316 LYON 4E  ARRONDISSEMENT,45.7736223887018,4.8190464913170095
OUI,7/12/2016,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",le questionnaire a été renseigné à partir des données de la fiche récapitulative du dossier technique fourni par l'Unité Sécurité et Règlementation  de la Direction Bâtiments,0420664U,1ORD,PU,0420664U,ECOLE MATERNELLE RICHELANDIERE MATERNELLE <br> 42100 SAINT-ETIENNE,45.436390323293544,4.412241971348254
OUI,2/11/1997,OUI,NON,NON,,NON,NON,OUI,,,0421082Y,CLG,PR,0421082Y,COLLEGE SAINT JOSEPH <br> 42380 SAINT-BONNET-LE-CHATEAU,45.421325400444545,4.065501228623472
OUI,12/6/2010,OUI,NON,NON,,NON,NON,OUI,,,0692034L,1ORD,PR,0692034L,ECOLE ELEMENTAIRE SAINT NICOLAS <br> 69640 DENICE,46.001617445122,4.645371566546262
NON,,,,,,,,,,,0690959T,1ORD,PU,0690959T,ECOLE ELEMENTAIRE  <br> 69220 CHARENTAY,46.087691068147144,4.6800715497448095
OUI,2/11/1997,OUI,NON,NON,,NON,NON,OUI,,,0421302M,1ORD,PR,0421302M,ECOLE ELEMENTAIRE ST JOSEPH <br> 42380 SAINT-BONNET-LE-CHATEAU,45.42155184652894,4.0656475128311085
,,,,,,,,,,,0420334K,1ORD,PU,0420334K,ECOLE MATERNELLE COUSTEAU MATERNELLE <br> 42230 ROCHE-LA-MOLIERE,45.433139031738406,4.321061388118552
OUI,4/21/2009,OUI,OUI,NON,,NON,NON,OUI,,"Je n'étais pas encore la présidente de l'ogec lors de la visite en 2009, j'ai cependant pu consulter le DTA. Il est indiqué que de l'amiante est présente à l'extérieur des bâtiments mais pas à l'intérieur. Il est également indiqué qu'il faut surveiller l'",0010831Y,1ORD,PR,0010831Y,ECOLE ELEMENTAIRE SAINTE THERESE <br> 01290 GRIEGES,46.255418181451475,4.851788390291218
OUI,12/12/2006,OUI,NON,NON,,NON,NON,OUI,,,0691882W,1ORD,PR,0691882W,ECOLE ELEMENTAIRE DES QUATRE HORIZONS <br> 69610 AVEIZE,45.68328084576131,4.475897857281021
OUI,2/6/2007,OUI,OUI,OUI,2/5/2016,NON,NON,OUI,,,0690634P,LYC,PR,0690634P,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE LA MACHE <br> 69373 LYON 8E  ARRONDISSEMENT,45.73714846837038,4.870617453961708
OUI,,OUI,NON,NON,,NON,NON,NON,,,0692977L,1ORD,PU,0692977L,ECOLE ELEMENTAIRE LES ANEMONES <br> 69009 LYON 9E  ARRONDISSEMENT,45.78256045924724,4.793831815328184
OUI,5/13/1998,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0693341G,1ORD,PU,0693341G,ECOLE ELEMENTAIRE  <br> 69790 SAINT-IGNY-DE-VERS,46.240749278132455,4.4377176602460615
,,,,,,,,,,nous ne savons pas si un dossier a été fait,0421032U,CLG,PR,0421032U,COLLEGE VICTOR DE LAPRADE <br> 42603 MONTBRISON,45.608806418363784,4.0660765338146385
,,,,,,,,,,nous ne savons pas si un dossier a été fait,0420973E,LYC,PR,0420973E,LYCEE ENSEIGNT GENERAL ET TECHNOLOGIQUE SAINT PAUL FOREZ <br> 42603 MONTBRISON,45.609503364907894,4.06532520181569
NON,,,,,,,,,,,0422129L,1ORD,PR,0422129L,ECOLE ELEMENTAIRE ST PAUL <br> 42300 ROANNE,46.04212409118747,4.074302092892192
NON,,,,,,,,,,,0421023J,LYC,PR,0421023J,LYCEE D ENSEIGNEMENT GENERAL SAINT PAUL <br> 42300 ROANNE,46.03885896147523,4.070551560751151
OUI,7/1/2016,OUI,OUI,OUI,6/29/2016,NON,NON,OUI,,"Amiante présente dans des conduits de fluide à la cave n° 4 de l'ancien bâtiment.
Surveillance périodique tous les trois ans préconisée par le bureau de contrôle ""Agenda diagnostics"" de Villeurbanne.",0692087U,1ORD,PR,0692087U,ECOLE ELEMENTAIRE CHAMPAGNAT <br> 69240 SAINT-VINCENT-DE-REINS,46.07440832914876,4.3896506943444695
OUI,2/2/2006,OUI,OUI,,,,,OUI,,,0420374D,1ORD,PU,0420374D,ECOLE ELEMENTAIRE PAUL BERT ELEMENTAIRE <br> 42300 ROANNE,46.040898608407296,4.069613622240164
OUI,1/2/2006,OUI,NON,NON,,NON,NON,OUI,,,0691911C,1ORD,PR,0691911C,ECOLE ELEMENTAIRE SAINT JEAN PIERRE NEEL <br> 69440 SAINTE-CATHERINE,45.598561636214896,4.570384323462402
OUI,3/1/2005,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0690770M,1ORD,PU,0690770M,ECOLE ELEMENTAIRE JACQUES PREVERT <br> 69490 VINDRY-SUR-TURDINE,45.893866838694066,4.4994154216779085
,,,,,,,,,,Construction en 2007,0010943V,1ORD,PU,0010943V,ECOLE ELEMENTAIRE  <br> 01640 JUJURIEUX,46.0376590712609,5.406962246305797
NON,,,,,,,,,,,0421484K,1ORD,PR,0421484K,ECOLE ELEMENTAIRE LES TILLEULS <br> 42130 BOEN-SUR-LIGNON,45.745350993928426,4.0058910520658175
NON,,,,,,,,,,,0693975W,CLG,PU,0693975W,COLLEGE SIMONE VEIL <br> 69380 CHATILLON,45.8673409804779,4.641661109616825
OUI,12/16/2009,OUI,OUI,NON,12/16/2009,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",Travaux de rénovation de l'ensemble du bâtiment en 2017.,0691283V,1ORD,PU,0691283V,ECOLE ELEMENTAIRE  <br> 69420 CONDRIEU,45.46445812132504,4.767564734651099
OUI,6/27/2014,OUI,OUI,NON,,NON,NON,OUI,Autres,La collectivité de rattachement est la Métropole de Lyon,0690280E,CLG,PU,0690280E,COLLEGE LES IRIS <br> 69100 VILLEURBANNE,45.76924977790056,4.897808837994051
,,OUI,,,,,,,,,0693340F,1ORD,PU,0693340F,ECOLE ELEMENTAIRE FERNAND GAYOT <br> 69400 LIMAS,45.97399892552529,4.7038261911711166
NON,,,,,,,,,,,0420718C,1ORD,PU,0420718C,ECOLE ELEMENTAIRE R.CENTRALE PRIMAIRE <br> 42610 SAINT-GEORGES-HAUTE-VILLE,45.555144661231395,4.099194142669701
OUI,7/6/2011,OUI,NON,NON,,,NON,OUI,,,0690646C,LYC,PR,0690646C,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE CARREL <br> 69006 LYON 6E  ARRONDISSEMENT,45.7662191157445,4.849633864919565
OUI,7/6/2011,OUI,NON,,,,NON,OUI,,,0693373S,LP,PR,0693373S,LYCEE PROFESSIONNEL CARREL <br> 69006 LYON 6E  ARRONDISSEMENT,45.7662191157445,4.849633864919565
OUI,4/28/2004,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0693560V,1ORD,PU,0693560V,ECOLE ELEMENTAIRE  <br> 69840 JULIENAS,46.235499136337175,4.709970274762088
OUI,11/14/2016,OUI,OUI,NON,,NON,NON,OUI,,Il a été détecté une présence d'amiante en bon état.,0420755T,1ORD,PU,0420755T,ECOLE ELEMENTAIRE LE BOURG ELEMENTAIRE <br> 42130 SAINT-LAURENT-ROCHEFORT,45.77326206304104,3.923307797365233
NON,,,,,,,,,,,0421014Z,CLG,PR,0421014Z,COLLEGE NOTRE DAME DES COLLINES <br> 42800 RIVE-DE-GIER,45.52569730984517,4.616461904447909
NON,,,,,,,,,,,0420982P,LP,PR,0420982P,LYCEE PROFESSIONNEL NOTRE DAME DES COLLINES <br> 42800 RIVE-DE-GIER,45.526156745281746,4.616517571286425
OUI,9/20/2007,OUI,NON,NON,,NON,NON,OUI,,,0690642Y,LYC,PR,0690642Y,LYCEE D ENSEIGNEMENT TECHNOLOGIQUE O R T <br> 69373 LYON 8E  ARRONDISSEMENT,45.73812520088303,4.867663604414777
OUI,7/22/1998,NON,NON,NON,,NON,NON,OUI,,,0421752B,1ORD,PU,0421752B,ECOLE ELEMENTAIRE LA CLE DES MONTAGNES PRIMAIRE <br> 42920 CHALMAZEL-JEANSAGNIERE,45.70254136524756,3.850495896861896
OUI,7/20/2016,OUI,NON,NON,,NON,NON,OUI,,,0693406C,LP,PR,0693406C,LYCEE PROFESSIONNEL O R T <br> 69373 LYON 8E  ARRONDISSEMENT,45.73812520088303,4.867663604414777
OUI,,,NON,,,,,,,,0010687S,1ORD,PU,0010687S,ECOLE ELEMENTAIRE EUGENE DUBOIS <br> 01660 VANDEINS,46.21516775149687,5.078519811140927
NON,,,,,,,,,,,0421358Y,1ORD,PR,0421358Y,ECOLE ELEMENTAIRE NOTRE DAME <br> 42530 SAINT-GENEST-LERPT,45.44241603750631,4.346800665263172
NON,,,,,,,,,,,0693272G,1ORD,PR,0693272G,ECOLE ELEMENTAIRE PAUL LORNAGE <br> 69590 COISE,45.61414640004126,4.473119531220045
OUI,4/21/2006,OUI,NON,,,,,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","e suis simplement directrice d'école, sans aucune compétence dans le domaine de l'amiante.J'essaie donc d'interpréter le dossier technique amiante présent dans l'école pour répondre à votre demande et renseigner l'enquête en ligne. J'ai bien compris qu'il",0691024N,1ORD,PU,0691024N,ECOLE ELEMENTAIRE PIERRES DOREES <br> 69400 PORTE DES PIERRES DOREES,45.957445602056964,4.64700251147954
OUI,7/31/2000,OUI,NON,NON,,NON,NON,OUI,,,0691899P,1ORD,PR,0691899P,ECOLE ELEMENTAIRE SAINTE BLANDINE <br> 69770 LONGESSAIGNE,45.790945827929534,4.424581538555045
NON,,,,,,,,,,,0422249S,1ORD,PR,0422249S,ECOLE ELEMENTAIRE MARCELLIN CHAMPAGNAT <br> 42110 FEURS,45.7449099996899,4.223938651126971
OUI,5/11/2016,NON,OUI,NON,,NON,NON,OUI,,,0692051E,1ORD,PR,0692051E,ECOLE ELEMENTAIRE SAINTE THERESE <br> 69210 L'ARBRESLE,45.8393209440298,4.615904338578495
NON,,,,,,,,,,,0420913P,1ORD,PU,0420913P,ECOLE ELEMENTAIRE LE BOURG PRIMAIRE <br> 42140 VIRIGNEUX,45.688511765365504,4.353100061517747
OUI,9/14/2015,NON,OUI,OUI,8/11/2015,NON,NON,OUI,,,0010381J,1ORD,PR,0010381J,ECOLE ELEMENTAIRE ST VINCENT <br> 01210 FERNEY-VOLTAIRE,46.25942433224174,6.106682255486192
OUI,7/12/2016,OUI,OUI,,,,,,,"ci-joint les compléments d’information concernant l’enquête amiante pour l’école maternelle. Le DTA n’est pas réalisé à ce jour, mais nous avons reçu le 12/07/2016 le rapport de repérage amiante pour l’ensemble des locaux de la maternelle, les conclusions",0692269S,1ORD,PU,0692269S,ECOLE MATERNELLE  <br> 69830 SAINT-GEORGES-DE-RENEINS,46.0616565716043,4.727136795007848
NON,,,,,,,,,,,0421566Z,1ORD,PU,0421566Z,ECOLE ELEMENTAIRE LE BOURG ELEMENTAIRE <br> 42520 SAINT-APPOLINARD,45.341576624330365,4.651853565232899
,,,,,,,,,,"Je me suis rapprochée du Directeur des Services Techniques de la communes pour qu'il me transmette le DTA. Ne l'ayant pas en sa possession, il en a fait la demande auprès de SOCOTEC, la société ayant procédé au repérage de l'amiante en vue de la constitut",0692490G,1ORD,PU,0692490G,ECOLE MATERNELLE LOUISE MICHEL <br> 69780 SAINT-PIERRE-DE-CHANDIEU,45.646576092637176,5.01363601772512
OUI,12/8/2003,OUI,OUI,NON,,NON,NON,OUI,,,0421679X,CLG,PU,0421679X,COLLEGE LE PORTAIL ROUGE <br> 42100 SAINT-ETIENNE,45.41690484951913,4.410386482530777
NON,,,,,,,,,,,0691009X,1ORD,PU,0691009X,ECOLE ELEMENTAIRE  <br> 69790 PROPIERES,46.19314560052235,4.437211249764076
NON,,,,,,,,,,,0421323K,1ORD,PR,0421323K,ECOLE ELEMENTAIRE ST JOSEPH <br> 42140 SAINT-DENIS-SUR-COISE,45.615977318531925,4.423807273569112
NON,,,,,,,,,,,0692946C,1ORD,PU,0692946C,ECOLE ELEMENTAIRE JULES CHAURAN <br> 69210 SAIN-BEL,45.81221108765738,4.594641031143746
OUI,12/19/2006,OUI,OUI,NON,,NON,NON,OUI,,,0690651H,LP,PR,0690651H,LYCEE PROFESSIONNEL SAINT JOSEPH <br> 69365 LYON 7E  ARRONDISSEMENT,45.747795618342046,4.8522041631034245
OUI,1/16/2006,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0011028M,1ORD,PU,0011028M,ECOLE ELEMENTAIRE GROUPE SCOLAIRE DU CENTRE <br> 01700 MIRIBEL,45.82267023803004,4.952196969104674
OUI,7/19/2004,OUI,OUI,NON,,NON,OUI,OUI,,,0011119L,LYC,PU,0011119L,LYCEE POLYVALENT ARBEZ CARME <br> 01100 BELLIGNAT,46.25025081378902,5.6334549567372
OUI,6/3/2014,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",Les 2 conduits en amiante ciment diagnostiqués en 2004 ont été supprimés.,0690883K,1ORD,PU,0690883K,ECOLE ELEMENTAIRE  <br> 69620 THEIZE,45.939825984626744,4.61540973786604
OUI,2/3/2006,OUI,NON,,,,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0691447Y,1ORD,PU,0691447Y,ECOLE ELEMENTAIRE EDMOND GUION <br> 69890 LA TOUR-DE-SALVAGNY,45.814383606514674,4.717685242199397
OUI,7/10/2014,OUI,NON,OUI,5/30/2014,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",j'ai complété votre enquête à partir d'une fiche récapitulative du dossier technique amiante transmis par la mairie de Saint-Etienne. C'est un document difficile à lire quand on est pas spécialiste ce qui est mon cas et je ne suis donc pas sûr de mes répo,0421991L,1ORD,PU,0421991L,ECOLE ELEMENTAIRE LA VEUE ELEMENTAIRE <br> 42100 SAINT-ETIENNE,45.42056519098056,4.396115333815221
NON,,,,,,,,,,,0690361T,1ORD,PU,0690361T,ECOLE ELEMENTAIRE  <br> 69870 GRANDRIS,46.03708429833662,4.475471530086772
,,,,,,,,,,le diagnostic amiante est en cours de réalisation pour le collège du Sacré Cœur.,0690510E,CLG,PR,0690510E,COLLEGE DU SACRE COEUR <br> 69130 ECULLY,45.77013501018085,4.774696507768443
NON,,,,,,,,,,,0422158T,LYC,PR,0422158T,LYCEE POLYVALENT LA SALESIENNE <br> 42100 SAINT-ETIENNE,45.43897225947829,4.402056778253165
OUI,6/26/2011,OUI,NON,NON,,NON,NON,OUI,,,0692052F,1ORD,PR,0692052F,ECOLE ELEMENTAIRE SAINT VINCENT <br> 69210 BULLY,45.85122086341254,4.583645294353526
NON,,,,,,,,,,,0421249E,1ORD,PR,0421249E,ECOLE ELEMENTAIRE NOTRE DAME DE LA VOISINEE <br> 42470 FOURNEAUX,45.936206272533205,4.264002483675888
OUI,11/22/2007,OUI,NON,NON,,NON,NON,OUI,,,0011238R,1ORD,PR,0011238R,ECOLE ELEMENTAIRE DE LA SIDOINE <br> 01600 TREVOUX,45.937265904112536,4.784789310439164
NON,,,,,,,,,,,0420899Z,1ORD,PU,0420899Z,ECOLE ELEMENTAIRE LE BOURG PRIMAIRE <br> 42520 VERANNE,45.36825698323639,4.661860442269544
OUI,11/23/2011,OUI,OUI,NON,,NON,NON,OUI,,,0692328F,1ORD,PR,0692328F,ECOLE ELEMENTAIRE JEANNE D'ARC <br> 69747 GENAS,45.736453074002426,5.0149403763194655
NON,,,,,,,,,,,0421396P,1ORD,PR,0421396P,ECOLE ELEMENTAIRE NOTRE DAME <br> 42470 SAINT-SYMPHORIEN-DE-LAY,45.94741705494157,4.208678243349
OUI,10/20/2007,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0693185M,1ORD,PU,0693185M,ECOLE MATERNELLE LE CHAT PERCHE <br> 69720 SAINT-BONNET-DE-MURE,45.68911683746954,5.028457235043984
NON,,,,,,,,,,,0421404Y,1ORD,PR,0421404Y,ECOLE ELEMENTAIRE SAINT JOSEPH <br> 42450 SURY-LE-COMTAL,45.53518873702522,4.1858443614035235
OUI,2/20/1998,OUI,OUI,NON,,NON,OUI,OUI,,Le local ECS est maintenant le local chaufferie.,0692098F,1ORD,PR,0692098F,ECOLE ELEMENTAIRE SAINTE ANGELE <br> 69430 BEAUJEU,46.15603339445293,4.586047258792486
NON,,,,,,,,,,,0420547S,1ORD,PU,0420547S,ECOLE ELEMENTAIRE LE PARTERRE PRIMAIRE <br> 42400 SAINT-CHAMOND,45.47944835875445,4.51152443968245
NON,,,,,,,,,,,0420453P,1ORD,PU,0420453P,ECOLE ELEMENTAIRE LE BOURG PRIMAIRE <br> 42750 MARS,46.15299245729576,4.2457845142725965
NON,,,,,,,,,,,0692056K,1ORD,PR,0692056K,ECOLE ELEMENTAIRE NOTRE DAME DES CHARMILLES <br> 69890 LA TOUR-DE-SALVAGNY,45.8155307903746,4.71806099297469
OUI,1/22/2014,OUI,OUI,OUI,1/22/2014,NON,NON,OUI,,,0691566C,1ORD,PU,0691566C,ECOLE MATERNELLE GRAND LARGE <br> 69330 MEYZIEU,45.77632750592402,4.996472657476767
NON,,,,,,,,,,,0010237C,1ORD,PU,0010237C,ECOLE ELEMENTAIRE  <br> 01110 ARANC,46.00295879538179,5.5080730806177
OUI,7/19/2016,OUI,OUI,OUI,7/19/2016,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0420867P,1ORD,PU,0420867P,ECOLE ELEMENTAIRE LE BOURG  PRIMAIRE <br> 42580 LA TOUR-EN-JAREZ,45.486089479519755,4.38586038341162
,,,,,,,,,,question 2 à 12 : sans objet (après 01/07/97),0010207V,1ORD,PU,0010207V,ECOLE ELEMENTAIRE  <br> 01110 PLATEAU D'HAUTEVILLE,45.89382528692219,5.5981100413958655
OUI,,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",en mairie,0692810E,1ORD,PU,0692810E,ECOLE MATERNELLE  <br> 69380 LOZANNE,45.857003195922395,4.680545553123705
OUI,6/3/2004,OUI,OUI,NON,,NON,OUI,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0420665V,1ORD,PU,0420665V,ECOLE MATERNELLE MONTREYNAUD MOLINA MATERNELLE <br> 42000 SAINT-ETIENNE,45.46690520540459,4.3983165881080435
OUI,5/28/2014,OUI,OUI,OUI,5/28/2014,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,0421972R,1ORD,PU,0421972R,ECOLE ELEMENTAIRE MAYOLLET <br> 42300 ROANNE,46.02349032378237,4.054834786369402
OUI,,OUI,NON,OUI,,OUI,OUI,NON,Autres,le DTA a été effectué le 29 fevrier 2000,0421528H,1ORD,PU,0421528H,ECOLE MATERNELLE RUE BAYARD MATERNELLE <br> 42600 SAVIGNEUX,45.611820260949344,4.085605425570886
OUI,3/5/2008,OUI,OUI,NON,,NON,NON,OUI,Autres,Pour l'Adaps des travaux de mise en conformité accueil handicapés vont être faits. Un contrôle amiante sera donc fait au préalable.,0691939H,1ORD,PR,0691939H,ECOLE ELEMENTAIRE SAINT MARTIN <br> 69760 LIMONEST,45.83492007458428,4.770906603265052
NON,,,,,,,,,,,0690877D,1ORD,PU,0690877D,ECOLE ELEMENTAIRE DES 4 SAISONS <br> 69870 SAINT-JUST-D'AVRAY,46.002425276301864,4.448338984361503
OUI,7/11/2005,OUI,NON,NON,,NON,NON,OUI,,DOCUMENT RENSEIGNE PAR LE CHEF D ETABLISSEMENT : A. CHARVET,0692066W,1ORD,PR,0692066W,ECOLE ELEMENTAIRE NOTRE DAME DE SAINTE FOY <br> 69110 SAINTE-FOY-LES-LYON,45.734306089916274,4.804333575253019
