permis_date,dta,date_actualisation_dta,tous_locaux_visites,presence_amiante,obligation_surveillance,date_derniere_visite,obligation_mesure_taux_empoussierement,obligation_travaux,dta_consultable,lieu_dta_consultable,precision,type,secteur,code,Latitude,Longitude,collectivite
1,OUI,4/26/2006,OUI,OUI,NON,,NON,NON,OUI,,,1ORD,PU,0573128R,49.345829137511714,6.19201078208129,1
1,OUI,,OUI,NON,NON,,NON,NON,OUI,,Le diagnostic date du 29/01/1997,1ORD,PU,0572517B,49.17478692582678,6.7163372544197095,1
1,OUI,,OUI,NON,NON,,NON,NON,OUI,,Date de la dernière visite de contrôle: 14/11/1997.,1ORD,PU,0571121J,49.05262162292061,7.143351274826284,1
2,NON,,,,,,,,,,,1ORD,PU,0881761L,48.20727783754616,6.285304871010057,1
1,OUI,1/20/2009,OUI,OUI,,12/11/2008,OUI,NON,OUI,,,1ORD,PU,0572535W,49.36222910519832,6.152676733478809,1
1,OUI,,OUI,NON,NON,,,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0573217M,49.09228415484937,6.153948839306773,1
1,OUI,6/11/1997,OUI,NON,NON,,NON,NON,NON,,,1ORD,PU,0881365F,48.346201000140496,6.327617906470177,1
1,OUI,6/15/2006,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0541584D,48.671360883723615,5.9099576762008965,1
1,OUI,1/30/1997,OUI,OUI,NON,,NON,NON,OUI,,,1ORD,PU,0571285M,49.125721288310366,6.215560979292022,1
1,OUI,4/17/2016,OUI,OUI,OUI,4/17/2016,NON,NON,OUI,,,LP,PU,0573211F,49.08579018350204,6.146218753817535,3
1,OUI,4/3/2007,OUI,OUI,NON,,NON,NON,OUI,,,APPL,PU,0881701W,48.185716944887325,6.454917576164229,1
1,OUI,5/29/1997,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0573137A,49.0607535614218,6.786354152984456,1
1,OUI,5/15/2013,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0570528P,48.90874034341046,6.7017845433165,1
1,OUI,2/24/1997,OUI,NON,NON,,NON,NON,OUI,,Tous les locaux ont été visités + 1 prélèvement d'échantillon dans le plafond de la salle polyvalente de Foug,1ORD,PU,0540445R,48.68102276486575,5.791201841076082,1
1,OUI,1/19/2016,OUI,OUI,OUI,,NON,NON,OUI,,,1ORD,PU,0572107F,49.36245438973799,6.15242055242841,1
1,OUI,4/16/2016,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0550383T,48.69033005944552,5.723641643035261,1
1,OUI,2/22/2012,OUI,OUI,NON,,NON,NON,NON,Autres,,1ORD,PU,0571596A,48.824717666869276,6.503465730440628,1
1,OUI,5/21/2007,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0880269P,48.17504362976535,6.4589588941157325,1
1,NON,,,,,,,,,,,1ORD,PU,0880673D,48.01965244780755,6.7566945988869245,1
1,OUI,2/18/1997,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0571102N,49.079536055106246,6.909528818526014,1
1,OUI,9/7/2012,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0540337Y,49.48338905678913,5.70513325932116,1
1,OUI,12/1/2004,OUI,OUI,NON,,NON,NON,OUI,,"Prélèvements effectués début 2016, en prévision des travaux de mise en accessibilité supportés par le Conseil Départemental des Vosges : Rapport actualisé non transmis à ce jour.",CLG,PU,0880034J,48.06299399469629,5.784819316649334,2
1,OUI,8/4/2014,OUI,OUI,OUI,8/4/2014,NON,NON,OUI,,,LYC,PR,0542161F,48.68273434647061,6.179814437027571,3
1,OUI,4/24/2008,OUI,OUI,NON,,NON,NON,OUI,,,LYC,PR,0570211V,48.768822080569706,7.2701970506886875,3
1,NON,,,,,,,,,,,1ORD,PU,0572633C,49.268883075936955,6.0235093942428675,1
1,OUI,4/24/2008,OUI,OUI,NON,,NON,NON,OUI,,,CLG,PR,0572929Z,48.768503386330174,7.270142338874343,2
1,OUI,4/24/2008,OUI,OUI,NON,,NON,NON,OUI,,,1ORD,PR,0572378A,48.76813660778279,7.270097315943017,1
1,OUI,10/25/2015,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0540920G,49.419530974595844,5.705027720296804,1
1,OUI,6/11/2007,NON,OUI,NON,,OUI,OUI,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",La mairie ne nous a fourni qu'un rapport amiante confidentiel je ne sais pas s'il correspond au DTA. Je pense que les travaux n'ont pas été fait.,1ORD,PU,0880266L,48.16707031805722,6.453075164986787,1
1,OUI,,OUI,OUI,NON,,NON,NON,NON,Autres,,1ORD,PU,0571310P,49.13784283501112,6.1495568667291,1
1,OUI,10/1/2014,OUI,OUI,OUI,,NON,NON,OUI,,,1ORD,PU,0573548X,49.047709579423106,6.600832662252593,1
1,OUI,7/19/2010,OUI,OUI,NON,,OUI,NON,OUI,,des travaux seront réalisés été 2016 pour le retrait de tout le calorifugeage du réseau de chauffage des bâtiments B et C,1ORD,PU,0573016U,49.09287595715685,6.128347443824665,1
1,OUI,4/12/2006,OUI,OUI,NON,,OUI,NON,OUI,Autres,,CLG,PU,0541325X,48.61695806688093,6.362328741039895,2
1,OUI,12/15/2005,NON,NON,NON,,NON,NON,OUI,,,1ORD,PU,0542270Z,49.526026462882996,5.795460422704946,1
1,OUI,6/10/2009,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",travaux de désamiantage effectués en juin 2009. Analyses après travaux effectués par la COFRAC le 06/01/1989 : 0 fibre d'amiante dénombrée.(cf mail 23/06/2016),1ORD,PU,0572616J,49.051608175854724,6.924878650676073,1
1,OUI,2/15/2005,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0541909G,49.49842463299842,5.730770225399707,1
1,OUI,6/19/2013,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0573615V,49.36935921512248,6.188714156321923,1
1,OUI,3/21/2006,OUI,NON,NON,,NON,,NON,,,1ORD,PU,0541865J,48.75798405313459,6.119707850456503,1
1,OUI,10/2/2013,OUI,OUI,OUI,10/2/2013,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0570919P,49.34648230350282,6.240125221298461,1
1,OUI,10/20/2015,OUI,OUI,OUI,10/20/2015,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,LYC,PU,0570094T,48.73886166874246,7.060148857142613,3
1,OUI,12/23/2005,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0542214N,49.171528963041325,5.969525124455773,1
1,OUI,10/20/2015,OUI,NON,NON,,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,CLG,PU,0572816B,48.73837686320905,7.059866047880597,2
1,OUI,6/8/2007,NON,OUI,NON,,NON,NON,OUI,,"Locaux non visités : toiture (non visible, non accessible selon le rapport)",APPL,PU,0881487N,48.18887241811271,6.462707441133182,1
1,OUI,5/21/2007,OUI,OUI,OUI,,OUI,,OUI,,"je n'ai pas les connaissances suffisantes pour analyser le document""rapport amiante"" fourni par la municipalité par mail le 23/ 06 / 2016 ......",1ORD,PU,0880284F,48.1554094767049,6.454482451246323,1
1,OUI,7/29/2010,OUI,OUI,NON,,NON,NON,OUI,,"Des travaux de mises aux normes PMR sont en cours. Ainsi, un DTA avant travaux a était réalisé. Les travaux ne partent pas sur des matériaux amiantés.",1ORD,PU,0570490Y,48.73037321059015,7.0550204208372325,1
1,OUI,9/26/2015,OUI,OUI,OUI,9/26/2015,NON,NON,OUI,,,1ORD,PU,0540166M,48.72465564853918,6.5358177177882775,1
1,OUI,1/18/2006,OUI,NON,,,,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0540708B,49.292498056850064,5.841187705245108,1
1,OUI,4/21/2016,NON,OUI,NON,,NON,NON,OUI,,"Des prélèvements en vue de travaux ont été réalisés (cloisons des logements, grilles extérieures, enrobé des parkings, cloison en chaufferie). Les résultats ont été ajoutés dans le DTA.",CLG,PU,0541466A,48.72933536396607,6.169119438039568,2
1,OUI,1/21/2013,OUI,OUI,NON,,,NON,OUI,,,LP,PU,0573080N,49.17158087514764,6.927116122025168,3
1,OUI,4/6/2015,OUI,OUI,NON,,NON,NON,OUI,,,CLG,PU,0881410E,48.18856598631966,6.994286978425202,2
2,OUI,,OUI,NON,,,,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",L'école a été rénovée en 2003/2004 - L'école étant récente le président qui gère l'école m'a dit que l'école n'avait pas d'amiante puisque c'était une construction récente L'école ne dispose pas de dossier amiante - à priori il en existe un datant de 1998,1ORD,PU,0880458V,48.385121469264725,5.610425556283518,1
1,OUI,1/10/2006,OUI,OUI,NON,,NON,NON,OUI,,Des travaux de rénovation et de réaménagement du bâtiment sont prévus à partir de fin 2016/début 2017 et devrait supprimer tout risque éventuel lié à l'amiante.,1ORD,PU,0572935F,49.22700876608484,6.213891259525787,1
1,OUI,5/2/2003,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0572557V,49.101824854855096,6.5573084643096795,1
1,OUI,12/1/2005,OUI,OUI,OUI,,NON,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",Les matériaux contenant de l'amiante ont été remplacés et éliminés lors des travaux de réfection de la toiture de l'école en novembre 2013.,1ORD,PU,0571821V,49.12342311005383,6.966149738548305,1
2,OUI,,OUI,NON,NON,1/1/2006,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","Questionnaire rempli par le maire de Vavincourt (saisie par la directrice)
les documents de la question 10 sont consultables à la mairie.",1ORD,PU,0550203X,48.823473820963315,5.206991760731588,1
1,OUI,6/11/1997,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0540299G,48.6248271052711,6.082697737749523,1
1,OUI,4/30/2009,OUI,NON,NON,,NON,NON,NON,,DTA du 12/09/2008 avait détecté de l'amiante dans les dalles du sol. celle-ci ont été recouvertes. DTA a constaté la réalisation le 30/04/2009,1ORD,PU,0881501D,48.35922020194843,6.324512364434947,1
1,NON,,,,,,,,,,,1ORD,PU,0571016V,49.50272853680433,6.2707419648934595,1
1,OUI,5/26/1997,OUI,OUI,NON,,NON,NON,OUI,,,1ORD,PU,0540501B,48.475048066440046,6.172069005065314,1
1,OUI,3/25/2003,OUI,OUI,NON,,NON,NON,OUI,,,1ORD,PU,0571286N,49.12302431964675,6.224471142899808,1
1,NON,,,,,,,,,,,1ORD,PU,0881589Z,48.27343775085369,6.396748623773643,1
1,OUI,1/23/2006,OUI,OUI,NON,,NON,OUI,,,,1ORD,PU,0880931J,47.87641823112346,6.787083317396762,1
1,OUI,9/8/2005,OUI,NON,NON,,NON,NON,OUI,,actualisation du dossier prévu à l'été 2016,1ORD,PU,0550757Z,49.28808597318222,5.756528304381143,1
1,OUI,7/3/2017,OUI,OUI,NON,,NON,NON,,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",Les locaux ont été désamiantés depuis.,1ORD,PU,0540842X,48.6817921027753,6.185030342951052,1
1,OUI,8/8/2007,OUI,OUI,NON,,NON,NON,OUI,,Nous nous sommes organisé pour effectuer le contrôle triennale soit effectué en 2016,CLG,PR,0550046B,48.772083564191476,5.161390420684706,2
1,NON,,,,,,,,,,,1ORD,PU,0541412S,48.914754826567496,6.058866398894364,1
1,OUI,8/8/2007,OUI,OUI,NON,,NON,NON,OUI,,Nous nous sommes organisé pour effectuer le contrôle triennale soit effectué en 2016,LYC,PR,0550047C,48.77183807389522,5.161382974441467,3
1,NON,,,,,,,,,,,1ORD,PU,0880382M,48.191472219867194,6.442710783549298,1
1,OUI,6/6/2015,OUI,OUI,OUI,6/6/2015,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",la présence d'amiante a été détectée dans les toitures uniquement,1ORD,PU,0540162H,48.608383037155924,6.412754357077918,1
1,OUI,9/17/2008,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0881066F,48.14003641314272,6.476458797220798,1
1,OUI,4/13/2015,OUI,OUI,NON,,NON,NON,OUI,,,LYC,PU,0570087K,49.10549945609253,6.693052326614048,3
1,OUI,9/14/2005,OUI,OUI,OUI,,NON,NON,OUI,,Information concernant la périodicité des contrôles.,1ORD,PU,0571131V,49.07948649289279,7.009664867973899,1
1,OUI,10/22/2015,OUI,OUI,OUI,10/13/2015,NON,OUI,OUI,,,CLG,PU,0572186S,49.10166161622297,6.104235404203856,2
1,OUI,5/28/2009,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","Les informations de cette enquête ont été données par la mairie de Girancourt en charge des bâtiments, le 24 juin 2016.",1ORD,PU,0881327P,48.16147385893785,6.311473050398329,1
1,OUI,4/16/2009,NON,NON,NON,,NON,NON,OUI,,,CLG,PU,0573361U,49.056999707152116,7.415534132487272,2
1,NON,,,,,,,,,,,1ORD,PU,0881048L,47.99134411573714,6.7476726687346895,1
2,OUI,11/1/2005,,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0541768D,49.23279764984756,6.009491649269542,1
1,OUI,10/25/2010,OUI,OUI,NON,,NON,NON,OUI,,,1ORD,PU,0571619A,49.05470360567802,7.423155747440691,1
1,OUI,4/6/2012,OUI,NON,NON,,NON,NON,OUI,,"Bâtiment dit école des filles:matériaux visibles et suspects n'ayant pu faire l'objet d'investigation et qu'il sera nécessaire de contrôler à l'occasion de travaux: les clapets coupe feu et les joints de chaudière n'ont pas fait l'objet d'analyse, aussi i",1ORD,PU,0541795H,49.49358373233384,5.871484785342088,1
1,OUI,3/16/2006,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0570820G,49.16721015379633,6.867799452420722,1
1,OUI,3/31/2006,OUI,OUI,NON,,NON,NON,OUI,,,CLG,PU,0540054R,48.88775251234254,6.2234877744979205,2
1,OUI,4/3/1997,OUI,NON,,,,,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0573158Y,49.11402345420461,6.714663525497119,1
1,,,,,,,,,,,"Il n'y a rien dans l'école en ce qui concerne le DTA.
Chardin Françoise",1ORD,PU,0541915N,48.91630449685758,6.065870932419152,1
1,OUI,7/15/1999,OUI,OUI,NON,,NON,NON,OUI,,,LP,PU,0880057J,48.2884362904419,6.9597488276193005,3
1,OUI,7/7/2012,OUI,OUI,OUI,7/7/2012,NON,NON,OUI,,,1ORD,PU,0541015K,49.531735982705115,5.819155628821273,1
1,OUI,6/1/2016,OUI,OUI,OUI,,NON,NON,OUI,,,LP,PU,0880064S,48.24820185569209,6.410243314970612,3
1,OUI,6/15/2006,OUI,OUI,NON,,NON,NON,OUI,,Certaines dalles du sol contenant de l'amiante se décollent.,1ORD,PU,0573144H,49.103852087202064,7.063973702948486,1
1,NON,,,,,,,,,,,1ORD,PU,0570351X,49.11230297334951,6.5380951732821115,1
2,NON,,,,,,,,,,,1ORD,PU,0570777K,49.12296734210104,6.5896422029825255,1
2,OUI,5/21/2007,OUI,NON,NON,,OUI,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0880304C,48.17680070104853,6.450381572304303,1
1,OUI,11/30/2005,OUI,OUI,NON,,NON,NON,OUI,,,1ORD,PU,0570933E,49.138369949943396,7.007623461191903,1
1,OUI,8/17/1998,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0571911T,49.174291930029405,6.239107625582597,1
1,OUI,11/10/2005,OUI,OUI,NON,,NON,NON,OUI,,,1ORD,PU,0550141E,49.33272956413145,5.575065845509738,1
1,OUI,7/4/2016,NON,OUI,NON,,NON,NON,OUI,,,1ORD,PU,0880276X,48.17993078466646,6.435061481927803,1
1,OUI,,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0880640T,48.35566985070402,5.879571384979745,1
1,,,NON,NON,,,,,,,,CLG,PU,0881102V,48.18191745045845,5.902690206774567,2
1,NON,,,,,,,,,,,1ORD,PU,0573237J,48.81260581193775,7.208244695760653,1
1,OUI,11/19/2005,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0540764M,49.204489593449104,5.942977184948249,1
1,OUI,2/2/2016,NON,OUI,NON,,NON,NON,OUI,,,LP,PU,0570051W,49.15369307566019,6.818030447098487,3
1,OUI,9/30/1996,OUI,OUI,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0881261T,48.17263304735731,6.878212953800548,1
1,NON,,,,,,,,,,,1ORD,PU,0570576S,48.963323651969716,6.505542564695731,1
1,,,,,,,,,,,,1ORD,PU,0570556V,48.780981493506815,6.404979115813083,1
1,NON,,,,,,,,,,,1ORD,PU,0570395V,48.7775390483554,7.1321708466784015,1
1,OUI,3/16/2006,OUI,NON,NON,,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0881581R,48.224092704442384,6.222233480670329,1
1,OUI,2/5/1999,OUI,NON,NON,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0572400Z,49.29730039399765,6.055848342860986,1
1,OUI,,OUI,OUI,OUI,,NON,NON,OUI,,"Le seul problème d'amiante de l'école concernait une porte coupe-feu qui était située dans un bâtiment adossé à l'établissement et où les élèves n'avaient aucun accès. Depuis le DTA  (établi en 2004), cette porte a été enlevée car des travaux ont été réal",1ORD,PU,0570500J,48.702998566424505,7.077233181532924,1
1,OUI,4/8/1997,OUI,NON,NON,,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)","Concernant la question 4, je ne sais pas si tous les locaux ont été visités car cette précision n'apparait pas dans le dossier.",1ORD,PU,0570467Y,49.18102280843428,6.1057262345727805,1
1,OUI,3/25/2010,,OUI,NON,,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0571771R,49.05476909748746,7.4225515792354075,1
1,OUI,2/10/2016,NON,OUI,OUI,2/10/2016,OUI,OUI,OUI,,"DTA obtenu grâce à cette enquête, sinon il ne m'avait jamais été communiqué.",1ORD,PU,0550868V,48.51611548962532,5.503023562881705,1
1,NON,,,,,,,,,,,1ORD,PU,0572607Z,49.275688787609596,6.233365741121642,1
1,NON,,,,,,,,,,,1ORD,PU,0571871Z,49.45410426210708,6.347093406973843,1
1,NON,,,,,,,,,,,1ORD,PU,0572464U,48.96789354024863,6.610724021647093,1
1,OUI,11/29/2005,OUI,,,,,,,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0540285S,49.240723215282195,5.937735260562862,1
1,OUI,3/15/2014,OUI,OUI,NON,,NON,NON,OUI,,TRAVAUX DE DESAMIANTAGE REALISES EN JUILLET AOUT 2013,1ORD,PU,0572432J,49.19541475285983,6.119726067381152,1
1,NON,,,,,,,,,,,1ORD,PR,0881278L,48.37866134386414,6.298913431047348,1
2,NON,,,,,,,,,,,1ORD,PU,0570424B,49.01704002690823,6.496214140384902,1
1,OUI,,OUI,,,,NON,NON,OUI,,,1ORD,PU,0540978V,48.45153175642096,6.429947540606683,1
1,OUI,2/6/2013,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0571922E,48.96893466449546,6.248550404740382,1
1,OUI,,OUI,NON,,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",Question 4 : date d'actualisation du dossier technique amiante (DTA) : 12/10/1997,1ORD,PU,0573183A,48.817125826913774,7.006783752545375,1
1,NON,,,,,,,,,,,1ORD,PU,0572852R,48.67197221462914,7.0307810726998605,1
1,OUI,1/23/1997,OUI,NON,NON,,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0573607L,49.16589246033646,6.71613899665035,1
1,OUI,5/29/2013,OUI,OUI,OUI,5/29/2013,NON,,NON,,,1ORD,PU,0570619N,48.65342068397728,7.269812071578594,1
2,NON,,,,,,,,,,,1ORD,PU,0540610V,48.53929534182368,6.604716595662928,1
1,NON,,,,,,,,,,,1ORD,PU,0541135R,48.61302931278884,6.2548015464497855,1
1,OUI,12/15/2004,OUI,OUI,NON,,NON,NON,OUI,,,1ORD,PU,0572899S,49.06166994811034,6.152726523919019,1
1,NON,,,,,,,,,,,1ORD,PU,0550793N,48.70169821100804,5.303317726960874,1
1,OUI,9/10/2013,,OUI,NON,,OUI,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0881612Z,48.40539049469663,6.991977716297916,1
1,OUI,8/11/2004,OUI,OUI,NON,,NON,NON,OUI,,,1ORD,PU,0570787W,49.332796404390976,6.0515134818989464,1
1,OUI,3/20/2015,OUI,OUI,OUI,3/20/2015,NON,NON,OUI,,,LYC,PR,0541318P,48.69510897986482,6.173808151322754,3
1,OUI,3/24/2015,OUI,OUI,OUI,3/24/2015,OUI,OUI,OUI,,,CLG,PR,0541995A,48.69510897986482,6.173808151322754,2
1,OUI,3/26/2015,OUI,NON,,,,,OUI,,,1ORD,PR,0542284P,48.69373623369111,6.174483495175518,1
1,NON,,,,,,,,,,,1ORD,PU,0570359F,49.02600216020217,6.625479281515242,1
1,OUI,,OUI,OUI,NON,,NON,NON,OUI,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",date d'actualisation du dossier DTA: septembre 1996,1ORD,PU,0880529X,48.17263304735731,6.878212953800548,1
1,,,,,,,,,,,,1ORD,PU,0880935N,47.891606456387386,6.737499595639713,1
2,OUI,8/31/2012,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0573748P,49.00604726141261,6.099285982571514,1
1,OUI,1/4/2006,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0541943U,49.20972081274736,5.934983904862339,1
1,NON,,,,,,,,,,,1ORD,PU,0550696H,49.15894688306256,5.28784803653403,1
1,OUI,12/7/2005,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0570974Z,49.34171353299735,6.051703836705544,1
1,OUI,12/16/2005,OUI,NON,NON,,NON,,OUI,,,1ORD,PU,0571698L,49.029262455396214,6.960001103354845,1
1,OUI,11/13/2014,OUI,OUI,NON,11/13/2014,NON,NON,OUI,,,1ORD,PU,0880605E,48.20019666448832,5.951712678465087,1
1,OUI,3/5/2003,OUI,OUI,,,NON,OUI,OUI,,,1ORD,PU,0573550Z,49.13483889713137,6.163834513826313,1
1,OUI,5/10/2004,OUI,NON,OUI,,NON,OUI,OUI,,Les travaux préconisés ont été réalisés durant l'été 2012 (remplacement et enlèvement des dalles de la salle de jeux).,APPL,PU,0540852H,48.698095246289284,6.164243546456214,1
1,OUI,10/24/2012,OUI,OUI,NON,10/24/2012,NON,NON,OUI,,"Des travaux de désamiantage ont été réalisés en 2007 et ont retiré l'amiante constatée dans le DTA de 2004.
Un diagnostic amiante vient d'être demandé par le Conseil départemental pour 2 chaudières (bâtiment A). Ces chaudières doivent être évacuées dans",CLG,PU,0880150K,48.17128092588904,6.443184682718594,2
1,OUI,6/24/2016,OUI,NON,,,NON,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0573044Z,49.15342649272802,6.99384343821725,1
1,NON,,,,,,,,,,,1ORD,PU,0570635F,48.72045295235944,7.2582884104138,1
1,NON,,,,,,,,,,,1ORD,PU,0880557C,48.09445740081864,6.804607097028455,1
1,OUI,1/20/2006,OUI,OUI,OUI,5/10/2006,NON,NON,OUI,Autres,déjà évoqué aux conseils  d'école depuis deux ans le problème des dalles de sol thermoplastiques qui se décollent .,1ORD,PU,0572704E,49.359091026535474,5.981595062616615,1
1,OUI,1/30/2006,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0540725V,48.84106185912125,5.7993499563936375,1
1,OUI,2/23/2012,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0880312L,48.12515468309157,5.938950682655351,1
1,NON,,,,,,,,,,,CLG,PU,0550006H,49.29569524674832,5.7360313987374205,2
1,OUI,12/31/2005,OUI,OUI,NON,,NON,NON,OUI,,il n'a pas été préconisé de travaux ni de surveillance,1ORD,PU,0541862F,49.20991158835503,5.935498675433292,1
1,OUI,1/19/1999,OUI,NON,,,,,,,,1ORD,PU,0570706H,49.1975104872219,6.573379739292107,1
1,OUI,,OUI,NON,NON,,,NON,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",,1ORD,PU,0540118K,48.67891264549107,5.842141722195582,1
1,OUI,,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PU,0570445Z,49.15690945005684,6.1516841746839654,1
1,OUI,6/14/1999,OUI,OUI,NON,,NON,NON,OUI,,,CLG,PU,0572585A,49.251412773011864,6.097734043159949,2
1,OUI,6/14/1999,OUI,OUI,NON,,NON,NON,OUI,,,LYC,PU,0570146Z,49.25130827727769,6.0993495087299205,3
1,OUI,,OUI,NON,,,,,,,,1ORD,PU,0541849S,48.62435263796874,6.205074901656122,1
0,,,,,,,,,,,Rénovation de l'école en 2012-2013.On occupe la salle de classe refaite à neuf depuis novembre 2013.Notre école n'est pas concernée par l'amiante.,1ORD,PU,0540965F,48.46399924805194,6.473330397998607,1
1,OUI,6/1/2016,OUI,,,,,,OUI,,,1ORD,PU,0570914J,49.371089073668564,6.1548167193995456,1
1,OUI,1/19/1999,OUI,NON,,,,,,,,1ORD,PU,0571612T,49.197767915408505,6.5733783024018875,1
1,NON,,,,,,,,,,,1ORD,PU,0540151W,48.54599156191156,5.806218118952281,1
1,OUI,4/13/2007,OUI,NON,NON,,OUI,NON,OUI,,,1ORD,PU,0880297V,48.15667329753997,6.448998967494098,1
2,NON,,,,,,,,,,,CLG,PU,0573244S,49.300426927446594,6.198931771637688,2
1,NON,,,,,,,,,,,1ORD,PU,0881502E,48.2643577458609,6.649110403919195,1
1,NON,,,,,,,,,,,CLG,PR,0880108P,48.105383623501254,5.825425996253589,2
1,OUI,1/5/2006,,OUI,,,,,NON,"Collectivité locale de rattachement (Mairie, Conseil départemental, Conseil régional)",présence dans grenier du logement au-dessus de l'école (conduit VH salle de bain) bon état en 2006 ( photocopie synthèse dans l'école),1ORD,PU,0540303L,48.959072461977605,6.057891529411415,1
2,NON,,,,,,,,,,,1ORD,PU,0550575B,49.00494684986071,5.440596650172868,1
1,OUI,6/2/2015,OUI,OUI,NON,,NON,NON,OUI,,,LP,PU,0880031F,48.06383148044013,6.874988279194949,3
1,OUI,3/14/1997,OUI,NON,NON,,NON,NON,OUI,,,CLG,PR,0541999E,48.67299647764428,5.892278216891523,2
1,OUI,3/14/1997,OUI,NON,NON,,NON,NON,OUI,,,LYC,PR,0541320S,48.673132665816354,5.892007154105685,3
1,OUI,3/14/1997,OUI,NON,NON,,NON,NON,OUI,,,LP,PR,0541377D,48.6730716144839,5.892149190890176,3
1,OUI,3/14/1997,OUI,NON,NON,,NON,NON,OUI,,,1ORD,PR,0541655F,48.67569010517021,5.890582990143291,1
1,NON,,,,,,,,,,,1ORD,PU,0572869J,49.07956437934992,7.406794225223748,1
